#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',9,42,datetime.datetime(2019. 7. 29. 19. 49. 22),'Success',33
'vm1','suspend','compute_suspend_instance',124,129,datetime.datetime(2019. 7. 29. 19. 50. 49),'Success',5
'vm1','resume','compute_resume_instance',244,246,datetime.datetime(2019. 7. 29. 19. 52. 46),'Success',2
'vm1','stop','compute_stop_instance',364,366,datetime.datetime(2019. 7. 29. 19. 54. 47),'Success',2
'vm1','shelve','compute_shelve_instance',484,508,datetime.datetime(2019. 7. 29. 19. 57. 8),'Success',24
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',7,36,datetime.datetime(2019. 7. 29. 19. 59. 41),'Success',29
'vm1','suspend','compute_suspend_instance',124,129,datetime.datetime(2019. 7. 29. 20. 1. 14),'Success',5
'vm1','resume','compute_resume_instance',244,246,datetime.datetime(2019. 7. 29. 20. 3. 11),'Success',2
'vm1','stop','compute_stop_instance',364,367,datetime.datetime(2019. 7. 29. 20. 5. 12),'Success',3
'vm1','shelve','compute_shelve_instance',484,508,datetime.datetime(2019. 7. 29. 20. 7. 33),'Success',24
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',6,36,datetime.datetime(2019. 7. 29. 20. 10. 7),'Success',30
'vm1','suspend','compute_suspend_instance',124,128,datetime.datetime(2019. 7. 29. 20. 11. 39),'Success',4
'vm1','resume','compute_resume_instance',244,246,datetime.datetime(2019. 7. 29. 20. 13. 37),'Success',2
'vm1','stop','compute_stop_instance',364,366,datetime.datetime(2019. 7. 29. 20. 15. 37),'Success',2
'vm1','shelve','compute_shelve_instance',484,507,datetime.datetime(2019. 7. 29. 20. 17. 58),'Success',23
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',7,37,datetime.datetime(2019. 7. 29. 20. 20. 31),'Success',30
'vm1','suspend','compute_suspend_instance',124,129,datetime.datetime(2019. 7. 29. 20. 22. 3),'Success',5
'vm1','resume','compute_resume_instance',244,246,datetime.datetime(2019. 7. 29. 20. 24),'Success',2
'vm1','stop','compute_stop_instance',364,366,datetime.datetime(2019. 7. 29. 20. 26),'Success',2
'vm1','shelve','compute_shelve_instance',484,508,datetime.datetime(2019. 7. 29. 20. 28. 22),'Success',24
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',7,35,datetime.datetime(2019. 7. 29. 20. 30. 54),'Success',28
'vm1','suspend','compute_suspend_instance',125,129,datetime.datetime(2019. 7. 29. 20. 32. 28),'Success',4
'vm1','resume','compute_resume_instance',245,246,datetime.datetime(2019. 7. 29. 20. 34. 25),'Success',1
'vm1','stop','compute_stop_instance',365,367,datetime.datetime(2019. 7. 29. 20. 36. 26),'Success',2
'vm1','shelve','compute_shelve_instance',485,508,datetime.datetime(2019. 7. 29. 20. 38. 47),'Success',23
