#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',25,116,datetime.datetime(2019. 7. 28. 1. 35. 38),'Success',91
'vm1','suspend','compute_suspend_instance',124,125,datetime.datetime(2019. 7. 28. 1. 35. 47),'Success',1
'vm1','resume','compute_resume_instance',244,245,datetime.datetime(2019. 7. 28. 1. 37. 47),'Success',1
'vm1','stop','compute_stop_instance',364,425,datetime.datetime(2019. 7. 28. 1. 40. 47),'Success',61
'vm1','shelve','compute_shelve_instance',484,558,datetime.datetime(2019. 7. 28. 1. 43),'Success',74
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',21,108,datetime.datetime(2019. 7. 28. 1. 46. 30),'Success',87
'vm1','suspend','compute_suspend_instance',125,126,datetime.datetime(2019. 7. 28. 1. 46. 48),'Success',1
'vm1','resume','compute_resume_instance',245,246,datetime.datetime(2019. 7. 28. 1. 48. 48),'Success',1
'vm1','stop','compute_stop_instance',365,425,datetime.datetime(2019. 7. 28. 1. 51. 47),'Success',60
'vm1','shelve','compute_shelve_instance',485,556,datetime.datetime(2019. 7. 28. 1. 53. 58),'Success',71
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',18,107,datetime.datetime(2019. 7. 28. 1. 57. 30),'Success',89
'vm1','suspend','compute_suspend_instance',125,126,datetime.datetime(2019. 7. 28. 1. 57. 49),'Success',1
'vm1','resume','compute_resume_instance',245,246,datetime.datetime(2019. 7. 28. 1. 59. 49),'Success',1
'vm1','stop','compute_stop_instance',365,425,datetime.datetime(2019. 7. 28. 2. 2. 48),'Success',60
'vm1','shelve','compute_shelve_instance',485,556,datetime.datetime(2019. 7. 28. 2. 4. 59),'Success',71
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',18,102,datetime.datetime(2019. 7. 28. 2. 8. 27),'Success',84
'vm1','suspend','compute_suspend_instance',125,126,datetime.datetime(2019. 7. 28. 2. 8. 51),'Success',1
'vm1','resume','compute_resume_instance',244,246,datetime.datetime(2019. 7. 28. 2. 10. 51),'Success',2
'vm1','stop','compute_stop_instance',365,425,datetime.datetime(2019. 7. 28. 2. 13. 50),'Success',60
'vm1','shelve','compute_shelve_instance',485,556,datetime.datetime(2019. 7. 28. 2. 16. 1),'Success',71
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',20,108,datetime.datetime(2019. 7. 28. 2. 19. 35),'Success',88
'vm1','suspend','compute_suspend_instance',125,126,datetime.datetime(2019. 7. 28. 2. 19. 53),'Success',1
'vm1','resume','compute_resume_instance',245,246,datetime.datetime(2019. 7. 28. 2. 21. 53),'Success',1
'vm1','stop','compute_stop_instance',365,425,datetime.datetime(2019. 7. 28. 2. 24. 52),'Success',60
'vm1','shelve','compute_shelve_instance',485,555,datetime.datetime(2019. 7. 28. 2. 27. 2),'Success',70
